Freq_Hz,Accel_g,Accel_main
13.701,4.19E-08,3.06E-07
13.711,3.96E-08,2.89E-07
13.72,4.73E-08,3.45E-07
13.729,3.19E-08,2.33E-07
13.739,1.14E-07,8.34E-07
13.748,2.76E-08,2.01E-07
13.758,2.31E-08,1.68E-07
13.767,1.10E-07,8.01E-07
13.776,7.43E-08,5.42E-07
13.786,3.52E-08,2.57E-07
13.795,1.05E-07,7.68E-07
13.804,1.02E-07,7.45E-07
13.814,8.19E-08,5.97E-07
13.823,9.27E-08,6.77E-07
13.833,5.69E-08,4.15E-07
13.842,5.01E-08,3.65E-07
13.851,3.52E-08,2.57E-07
13.861,4.87E-08,3.55E-07
13.87,4.18E-08,3.05E-07
13.88,1.15E-07,8.38E-07
13.889,1.07E-07,7.78E-07
13.898,2.44E-08,1.78E-07
13.908,4.98E-08,3.64E-07
13.917,1.48E-07,1.08E-06
13.927,1.86E-07,1.35E-06
13.936,1.05E-07,7.66E-07
13.945,4.21E-08,3.07E-07
13.955,8.52E-08,6.22E-07
13.964,9.70E-08,7.08E-07
13.974,1.15E-07,8.37E-07
13.983,3.19E-08,2.32E-07
13.992,3.00E-08,2.19E-07
14.002,7.17E-08,5.23E-07
14.011,1.36E-07,9.91E-07
14.02,5.52E-08,4.03E-07
14.03,9.08E-08,6.63E-07
14.039,5.50E-08,4.02E-07
14.049,1.16E-07,8.50E-07
14.058,4.79E-08,3.49E-07
14.067,7.46E-08,5.44E-07
14.077,5.99E-08,4.37E-07
14.086,3.86E-08,2.82E-07
14.096,7.08E-08,5.17E-07
14.105,9.63E-08,7.03E-07
14.114,7.95E-08,5.80E-07
14.124,9.17E-08,6.69E-07
14.133,4.14E-08,3.02E-07
14.143,2.55E-08,1.86E-07
14.152,1.17E-07,8.53E-07
14.161,1.57E-07,1.15E-06
14.171,1.53E-07,1.12E-06
14.18,1.20E-07,8.78E-07
14.189,3.60E-08,2.63E-07
14.199,6.92E-08,5.05E-07
14.208,9.96E-08,7.27E-07
14.218,2.58E-08,1.88E-07
14.227,4.23E-08,3.09E-07
14.236,1.39E-07,1.02E-06
14.246,2.46E-08,1.79E-07
14.255,8.56E-08,6.25E-07
14.265,6.45E-08,4.70E-07
14.274,3.93E-08,2.87E-07
14.283,2.71E-08,1.98E-07
14.293,8.78E-08,6.41E-07
14.302,7.20E-08,5.26E-07
14.312,4.18E-08,3.05E-07
14.321,1.18E-07,8.61E-07
14.33,6.00E-08,4.38E-07
14.34,6.23E-08,4.55E-07
14.349,1.32E-07,9.67E-07
14.359,1.76E-07,1.29E-06
14.368,5.76E-08,4.20E-07
14.377,4.79E-08,3.49E-07
14.387,1.66E-07,1.21E-06
14.396,1.05E-07,7.66E-07
14.405,6.72E-09,4.91E-08
14.415,8.00E-08,5.84E-07
14.424,6.58E-08,4.80E-07
14.434,4.17E-08,3.04E-07
14.443,6.58E-08,4.80E-07
14.452,6.40E-08,4.67E-07
14.462,2.92E-08,2.13E-07
14.471,5.48E-08,4.00E-07
14.481,8.39E-08,6.12E-07
14.49,8.17E-08,5.96E-07
14.499,8.22E-08,6.00E-07
14.509,3.44E-08,2.51E-07
14.518,8.13E-08,5.93E-07
14.528,5.73E-08,4.18E-07
14.537,6.23E-08,4.55E-07
14.546,1.22E-07,8.93E-07
14.556,9.55E-08,6.97E-07
14.565,3.52E-08,2.57E-07
14.575,3.84E-08,2.81E-07
14.584,9.22E-08,6.73E-07
14.593,3.25E-08,2.37E-07
14.603,7.09E-08,5.17E-07
14.612,4.24E-08,3.10E-07
14.621,5.11E-08,3.73E-07
14.631,1.71E-08,1.25E-07
14.64,9.09E-08,6.63E-07
14.65,8.70E-08,6.35E-07
14.659,1.11E-08,8.12E-08
14.668,3.66E-08,2.67E-07
14.678,2.06E-08,1.50E-07
14.687,5.12E-08,3.74E-07
14.697,6.69E-08,4.88E-07
14.706,8.67E-08,6.32E-07
14.715,6.41E-08,4.67E-07
14.725,9.52E-08,6.95E-07
14.734,3.96E-08,2.89E-07
14.744,7.15E-08,5.22E-07
14.753,1.27E-07,9.23E-07
14.762,4.30E-08,3.14E-07
14.772,1.18E-07,8.59E-07
14.781,1.55E-07,1.13E-06
14.791,9.36E-08,6.83E-07
14.8,5.35E-08,3.90E-07
14.809,5.37E-08,3.92E-07
14.819,8.74E-08,6.37E-07
14.828,4.96E-08,3.62E-07
14.837,5.20E-08,3.79E-07
14.847,5.07E-08,3.70E-07
14.856,3.45E-08,2.51E-07
14.866,3.02E-08,2.21E-07
14.875,3.76E-08,2.75E-07
14.884,8.44E-09,6.16E-08
14.894,3.54E-08,2.58E-07
14.903,1.60E-07,1.17E-06
14.913,5.38E-08,3.93E-07
14.922,7.11E-08,5.19E-07
14.931,1.05E-07,7.64E-07
14.941,6.87E-08,5.01E-07
14.95,1.24E-07,9.02E-07
14.96,1.01E-07,7.38E-07
14.969,1.49E-07,1.09E-06
14.978,3.79E-08,2.76E-07
14.988,3.37E-08,2.46E-07
14.997,1.04E-07,7.57E-07
15.006,1.06E-07,7.71E-07
15.016,1.08E-07,7.87E-07
15.025,8.99E-08,6.56E-07
15.035,5.09E-08,3.71E-07
15.044,8.52E-08,6.22E-07
15.053,1.38E-07,1.01E-06
15.063,6.20E-08,4.53E-07
15.072,6.87E-08,5.01E-07
15.082,9.53E-08,6.95E-07
15.091,1.43E-07,1.04E-06
15.1,1.21E-07,8.81E-07
15.11,8.13E-08,5.93E-07
15.119,8.96E-08,6.54E-07
15.129,8.84E-08,6.45E-07
15.138,1.43E-07,1.05E-06
15.147,3.44E-08,2.51E-07
15.157,6.76E-08,4.93E-07
15.166,2.35E-08,1.71E-07
15.176,1.34E-08,9.80E-08
15.185,4.43E-08,3.23E-07
15.194,2.07E-08,1.51E-07
15.204,1.08E-07,7.88E-07
15.213,4.46E-08,3.26E-07
15.222,1.45E-07,1.06E-06
15.232,1.15E-08,8.37E-08
15.241,7.97E-08,5.81E-07
15.251,5.19E-08,3.79E-07
15.26,8.56E-08,6.25E-07
15.269,6.98E-08,5.09E-07
15.279,8.01E-08,5.84E-07
15.288,1.08E-07,7.89E-07
15.298,4.92E-08,3.59E-07
15.307,1.30E-07,9.46E-07
15.316,7.13E-08,5.20E-07
15.326,8.03E-08,5.86E-07
15.335,6.18E-08,4.51E-07
15.345,2.96E-08,2.16E-07
15.354,7.27E-08,5.31E-07
15.363,1.57E-07,1.15E-06
15.373,5.88E-08,4.29E-07
15.382,1.47E-07,1.07E-06
15.392,9.98E-08,7.28E-07
15.401,1.26E-07,9.18E-07
15.41,8.49E-08,6.20E-07
15.42,1.42E-07,1.04E-06
15.429,6.34E-08,4.63E-07
15.438,1.09E-08,7.95E-08
15.448,2.58E-08,1.88E-07
15.457,1.04E-07,7.58E-07
15.467,7.57E-08,5.53E-07
15.476,3.61E-08,2.63E-07
15.485,6.11E-08,4.46E-07
15.495,8.29E-08,6.05E-07
