freq,xdft,psdx
12.058,5.85E-08,6.25E-07
12.063,9.38E-08,1.00E-06
12.067,1.99E-08,2.12E-07
12.072,6.21E-08,6.63E-07
12.076,9.70E-08,1.04E-06
12.08,4.77E-08,5.09E-07
12.085,1.38E-08,1.48E-07
12.089,8.58E-08,9.16E-07
12.094,9.11E-08,9.73E-07
12.098,5.80E-08,6.19E-07
12.102,4.41E-08,4.71E-07
12.107,3.06E-08,3.27E-07
12.111,1.49E-08,1.59E-07
12.115,5.63E-08,6.01E-07
12.12,7.05E-08,7.52E-07
12.124,1.52E-08,1.62E-07
12.129,4.86E-08,5.19E-07
12.133,1.24E-07,1.33E-06
12.137,5.96E-08,6.36E-07
12.142,3.57E-08,3.81E-07
12.146,1.04E-07,1.11E-06
12.151,5.04E-08,5.39E-07
12.155,7.11E-08,7.59E-07
12.159,6.18E-08,6.60E-07
12.164,2.96E-08,3.16E-07
12.168,6.73E-08,7.18E-07
12.173,8.20E-08,8.76E-07
12.177,4.37E-08,4.66E-07
12.181,4.82E-08,5.15E-07
12.186,9.36E-08,9.99E-07
12.19,3.05E-08,3.26E-07
12.194,8.08E-08,8.62E-07
12.199,3.58E-08,3.82E-07
12.203,7.14E-08,7.62E-07
12.208,3.15E-08,3.36E-07
12.212,4.83E-08,5.15E-07
12.216,6.16E-08,6.58E-07
12.221,2.69E-08,2.87E-07
12.225,5.72E-08,6.11E-07
12.23,6.61E-08,7.05E-07
12.234,4.60E-08,4.91E-07
12.238,1.81E-08,1.94E-07
12.243,5.40E-08,5.76E-07
12.247,5.68E-08,6.06E-07
12.251,9.09E-08,9.71E-07
12.256,1.48E-09,1.58E-08
12.26,4.30E-08,4.59E-07
12.265,6.51E-08,6.95E-07
12.269,2.29E-08,2.45E-07
12.273,1.26E-07,1.35E-06
12.278,4.02E-08,4.29E-07
12.282,3.66E-08,3.90E-07
12.287,1.29E-07,1.38E-06
12.291,3.99E-08,4.26E-07
12.295,1.32E-07,1.40E-06
12.3,2.56E-08,2.73E-07
12.304,4.40E-08,4.70E-07
12.308,6.42E-08,6.86E-07
12.313,4.77E-08,5.09E-07
12.317,5.54E-08,5.91E-07
12.322,1.60E-07,1.71E-06
12.326,7.46E-08,7.96E-07
12.33,1.09E-07,1.16E-06
12.335,6.23E-08,6.65E-07
12.339,1.37E-07,1.46E-06
12.344,9.35E-08,9.98E-07
12.348,9.32E-08,9.95E-07
12.352,4.15E-08,4.43E-07
12.357,1.07E-07,1.14E-06
12.361,5.31E-08,5.67E-07
12.366,1.66E-07,1.78E-06
12.37,2.29E-08,2.45E-07
12.374,1.37E-07,1.46E-06
